specimen,diet,sex,infection,wing,area,length,breadth,roundness,asp.ratio
53,N,F,I,LFW,6.88057,4.648873,2.347839,0.405358,1.980064
53,N,F,I,LHW,6.485681,3.265495,2.724548,0.774404,1.198546
53,N,F,I,RFW,6.610205,4.470297,2.292213,0.421165,1.95021
53,N,F,I,RHW,6.337758,3.242434,2.698885,0.767544,1.201398
56,N,F,I,LFW,7.334743,4.792214,2.372463,0.406652,2.019933
56,N,F,I,LHW,6.878489,3.412019,2.81412,0.752281,1.212464
56,N,F,I,RFW,7.221703,4.68924,2.387121,0.418162,1.964392
56,N,F,I,RHW,6.812099,3.399969,2.790694,0.750311,1.218324
60,N,M,U,LFW,7.834074,4.984938,2.483063,0.401401,2.007576
60,N,M,U,LHW,7.380631,3.443329,2.955962,0.792586,1.164876
60,N,M,U,RFW,7.57066,4.759668,2.46922,0.425491,1.9276
60,N,M,U,RHW,7.370444,3.450707,2.959068,0.788111,1.166147
64,N,F,I,LFW,8.049306,5.081386,2.514635,0.396921,2.020725
64,N,F,I,LHW,7.756189,3.58555,2.996609,0.768152,1.196536
64,N,F,I,RFW,8.000645,4.947467,2.484809,0.416169,1.991085
64,N,F,I,RHW,7.711188,3.621607,3.000735,0.748564,1.206907
65,N,M,I,LFW,5.132562,3.940276,1.975461,0.420912,1.994611
65,N,M,I,LHW,4.970142,2.804329,2.414507,0.804676,1.16145
65,N,M,I,RFW,5.184884,3.966157,1.994648,0.419671,1.9884
65,N,M,I,RHW,5.084619,2.835505,2.422979,0.805207,1.170256
71,T,F,U,LFW,7.596111,4.950579,2.427392,0.394629,2.039464
71,T,F,U,LHW,7.229343,3.446851,2.870794,0.774754,1.200661
71,T,F,U,RFW,7.532013,4.836287,2.403833,0.410012,2.011906
71,T,F,U,RHW,7.291047,3.463156,2.887926,0.774027,1.199184
78,T,F,U,LFW,7.917024,5.054761,2.465823,0.394522,2.049929
78,T,F,U,LHW,7.521448,3.591815,2.923949,0.742307,1.228412
78,T,F,U,RFW,7.752482,4.958488,2.450649,0.401469,2.023336
78,T,F,U,RHW,7.514122,3.593227,2.903907,0.741001,1.237377
7,N,M,I,LFW,6.669749,4.526556,2.299265,0.414461,1.968697
7,N,M,I,LHW,6.426191,3.276,2.711077,0.762388,1.208376
7,N,M,I,RFW,6.661348,4.47461,2.277052,0.423606,1.965089
7,N,M,I,RHW,6.393081,3.232633,2.704128,0.778946,1.195444
80,T,M,I,LFW,8.079307,5.050797,2.501163,0.403241,2.019379
80,T,M,I,LHW,7.714705,3.55055,3.007536,0.779181,1.180551
80,T,M,I,RFW,8.040622,5.076056,2.521311,0.397326,2.01326
80,T,M,I,RHW,7.727049,3.551686,2.987014,0.779929,1.189042
86,T,M,I,LFW,5.4091,4.037152,2.075523,0.422557,1.945125
86,T,M,I,LHW,5.142969,2.869862,2.397563,0.795064,1.196991
86,T,M,I,RFW,6.29369,4.377621,2.257133,0.418157,1.939461
86,T,M,I,RHW,6.10292,3.136519,2.679481,0.789863,1.170569
89,T,M,U,LFW,6.639008,4.670452,2.364813,0.387521,1.974977
89,T,M,U,LHW,6.966824,3.333441,2.852297,0.798288,1.168686
89,T,M,U,RFW,7.08551,4.630912,2.386226,0.420676,1.940685
89,T,M,U,RHW,6.878636,3.302352,2.837266,0.803093,1.16392
91,T,F,U,LFW,6.160949,4.495764,2.137123,0.388106,2.103652
91,T,F,U,LHW,5.769669,3.149676,2.547494,0.740507,1.236382
91,T,F,U,RFW,6.142213,4.386415,2.138891,0.406458,2.050789
91,T,F,U,RHW,5.769669,3.149676,2.547494,0.740507,1.236382
94,T,M,U,LFW,6.492287,4.417827,2.276153,0.423536,1.940918
94,T,M,U,LHW,6.14989,3.136649,2.678445,0.795876,1.171071
94,T,M,U,RFW,6.490808,4.42006,2.265986,0.423012,1.950612
94,T,M,U,RHW,6.136859,3.12532,2.700808,0.799958,1.15718
96,T,F,I,LFW,8.895211,5.277097,2.637814,0.406702,2.000557
96,T,F,I,LHW,8.59262,3.741325,3.172418,0.781601,1.179329
96,T,F,I,RFW,8.797889,5.19739,2.621857,0.414685,1.982332
96,T,F,I,RHW,8.539079,3.75524,3.151557,0.770985,1.191551
98,T,F,U,LFW,7.64584,4.962593,2.406191,0.395292,2.062427
98,T,F,U,LHW,7.254067,3.488235,2.883677,0.759067,1.209649
98,T,F,U,RFW,7.704444,4.943943,2.455604,0.401333,2.013331
98,T,F,U,RHW,7.226737,3.498217,2.88451,0.751898,1.21276
